,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,3 BHK Apartment,7800000,"Sri Ramachandra Nagar, Vijayawada",1460 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
1,3 BHK Apartment,11500000,"Sri Ramachandra Nagar, Vijayawada",2110 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
2,Residential Plot,2300000,"Penamaluru, Vijayawada",1107 ,New,satya, 1.99 L booking amount
3,Residential Plot,1998999,"Kankipadu, Vijayawada",1500 ,New,satya," 99,999 booking amountEast facing"
4,Residential Plot,540000,"Vijayawada Nuzvidu Road, Vijayawada",1080 ,New,PropertiesAdda,"1 open sides 20,000 booking amountNorth facing"
5,Residential Plot,3529999,"Kanuru, Vijayawada",1548 ,Resale,mohammad ghouse,1 - 2 years old1 open sides 1 L booking amount
6,Residential Plot,6210000,"Kankipadu, Vijayawada",2430 ,New,PAWAN PROPERTIES,1 open sides 1 L booking amountEast facing
7,2 BHK Independent House,6800000,"Andhra Prabha Colony Road, Vijayawada",900 ,Ready to move,ksairams,1 - 2 years old2 BathroomsNew 
8,2 BHK Independent Floor,3500000,"Kankipadu, Vijayawada",1350 ,Under Construction,satya,Possession by Jul 20212 BathroomsNew 
9,2 BHK Independent House,5999000,"Penamaluru, Vijayawada",1100 ,Under Construction,satya,Possession by Dec 20232 BathroomsNew 
10,2 BHK Independent House,4200000,"Kankipadu, Vijayawada",1440 ,Ready to move,satya,6 - 7 years old2 BathroomsResale 
11,2 BHK Independent House,3300000,"Kankipadu, Vijayawada",1350 ,Under Construction,satya,Possession by Aug 20202 BathroomsNew 
12,2 BHK Independent House,3500000,"Kankipadu, Vijayawada",1350 ,Under Construction,satya,Possession by Aug 20212 BathroomsNew 
13,2 BHK Independent House,5499000,"Penamaluru, Vijayawada",1350 ,Under Construction,satya,Possession by Feb 20222 BathroomsNew 
14,2 BHK Apartment,3300000,"Gollapudi1, Vijayawada",1050 ,Ready to move,ksairams,2 - 3 years old2 Bathrooms1st of 4floor
15,Residential Plot,539000,"SURAMPALLI, Vijayawada",1080 ,New,Garima,"1 open sides 20,000 booking amountWest facing"
16,Residential Plot,539000,"SURAMPALLI, Vijayawada",1080 ,New,Garima,"1 open sides 20,000 booking amountSouth facing"
17,Residential Plot,539000,"SURAMPALLI, Vijayawada",1080 ,New,Garima,"1 open sides 20,000 booking amountNorth facing"
18,Residential Plot,539000,"Nuzividu, Vijayawada",1080 ,New,Garima,"2 open sides 20,000 booking amountNorthWest facing"
19,Residential Plot,539000,"Nuzividu, Vijayawada",1080 ,New,Garima,"2 open sides 20,000 booking amountSouthEast facing"
