,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
1,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
2,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
3,Residential Plot,2909000,"Ramavarapadu, Vijayawada",1647 ,New,Dial To Property,3 - 4 years old4 open sidesEast facing
4,Residential Plot,3116000,"Poranki, Vijayawada",1764 ,New,Dial To Property,2 open sidesWest facing
5,Residential Plot,3234000,"Poranki, Vijayawada",1764 ,New,Dial To Property,2 open sidesEast facing
6,Residential Plot,42000000,"Poranki, Vijayawada",1647 ,New,Dial To Property,
7,Residential Plot,4209000,"Poranki, Vijayawada",1647 ,New,Dial To Property,1 open sidesWest facing
8,Residential Plot,42000000,"Poranki, Vijayawada",1647 ,New,Dial To Property,1 open sidesWest facing
9,Residential Plot,3151000,"Enikepadu, Vijayawada",1719 ,New,Dial To Property,1 open sidesEast facing
10,Residential Plot,3036000,"Enikepadu, Vijayawada",1719 ,New,Dial To Property,
11,Residential Plot,3036000,"Enikepadu, Vijayawada",1719 ,New,Dial To Property,1 open sidesWest facing
12,Residential Plot,3019000,"Nidamanuru, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old1 open sidesEast facing
13,Residential Plot,2909000,"Nidamanuru, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old1 open sidesWest facing
14,Residential Plot,3019000,"Nidamanuru, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old4 open sidesEast facing
15,Residential Plot,2727000,"Gannavaram, Vijayawada",202 ,New,Dial To Property,1 open sidesWest facing
16,Residential Plot,2909000,"Nidamanuru, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old4 open sidesWest facing
17,Residential Plot,2909000,"Kesarapalle, Vijayawada",1647 ,New,Dial To Property,5 - 6 years old
18,Residential Plot,2025000,"Enikepadu, Vijayawada",150 ,New,Dial To Property,1 open sidesWest facing
19,3 BHK Apartment,9870000,"Kanuru, Vijayawada",2350 ,Under Construction,AP and TS Properties,3 BathroomsNew 
