,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,2 BHK Apartment,5697000,"Kanuru, Vijayawada",1266 ,Under Construction,AP and TS Properties,2 BathroomsNew West facing
1,3 BHK Apartment,6804000,"Kanuru, Vijayawada",1512 ,Under Construction,AP and TS Properties,3 BathroomsNew East facing
2,3 BHK Independent Floor,12500000,"Bharathi Nagar, Vijayawada",1875 ,Under Construction,AP and TS Properties,3 BathroomsNew 
3,2 BHK Apartment,4555000,"Benz Circle, Vijayawada",1200 ,Ready to move,AP and TS Properties,2 BathroomsNew 
4,2 BHK Apartment,4555000,"Benz Circle, Vijayawada",1200 ,Ready to move,AP and TS Properties,2 BathroomsNew 
5,3 BHK Apartment,9870000,"Kanuru, Vijayawada",2350 ,Under Construction,AP and TS Properties,3 BathroomsNew 
6,2 BHK Apartment,7500000,"Benz Circle, Vijayawada",1200 ,Under Construction,AP and TS Properties,2 BathroomsNew 
7,2 BHK Apartment,5940000,"Kanuru, Vijayawada",1250 ,Under Construction,AP and TS Properties,2 BathroomsNew East facing
8,3 BHK Apartment,7125000,"Currency Nagar, Vijayawada",1500 ,Under Construction,AP and TS Properties,3 BathroomsNew 
9,2 BHK Apartment,5413000,"Kanuru, Vijayawada",1203 ,Under Construction,AP and TS Properties,2 BathroomsNew 
10,3 BHK Apartment,9975000,"Currency Nagar, Vijayawada",2100 ,Under Construction,AP and TS Properties,3 BathroomsNew 
11,Residential Plot,2287000,"Kankipadu, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old
12,Residential Plot,3365999,"Kankipadu, Vijayawada",1782 ,New,AP and TS Properties,7 - 8 years old4 open sidesEast facing
13,Residential Plot,3400000,"Gannavaram, Vijayawada",1650 ,New,AP and TS Properties,5 open sidesEast facing
14,Residential Plot,3000000,"Gannavaram, Vijayawada",1584 ,New,AP and TS Properties,East facing
15,Residential Plot,3111000,"Kankipadu, Vijayawada",1647 ,New,AP and TS Properties,7 - 8 years old4 open sidesEast facing
16,Residential Plot,3468000,"Kankipadu, Vijayawada",1836 ,New,AP and TS Properties,7 - 8 years old4 open sidesEast facing
17,Residential Plot,3876000,"Kankipadu, Vijayawada",2052 ,New,AP and TS Properties,7 - 8 years old4 open sidesEast facing
18,Residential Plot,3672000,"Kankipadu, Vijayawada",1944 ,New,AP and TS Properties,7 - 8 years old4 open sidesEast facing
19,3 BHK Apartment,10800000,"Sri Ramachandra Nagar, Vijayawada",2000 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
