,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,Residential Plot,1350000,"Ramavarapadu Ring, Vijayawada",1350 ,New,satya,Possession by Dec 18990 open sides 2 L booking amount
1,2 BHK Apartment,2200000,"Edupugallu, Vijayawada",1100 ,Ready to move,Sri Bhavitha Developers,1 - 2 years old2 BathroomsResale 
2,2 BHK Independent House,4499000,"Kankipadu, Vijayawada",1280 ,Under Construction,Saideva Realestate,2 BathroomsNew 1 balcony
3,Residential Plot,4150000,"Mangalagiri, Vijayawada",2205 ,New,karim,2 - 3 years old 2.5 L booking amount
4,Residential Plot,4209000,"Poranki, Vijayawada",1647 ,New,Sri Bhramara Townships,2 open sides 1 L booking amountEast facing
5,Residential Plot,2800000,"Kankipadu, Vijayawada",1800 ,New,Sri Vaishnavi Townships,1 - 2 years old1 open sides 1 L booking amount
6,Residential Plot,3529999,"Poranki, Vijayawada",1548 ,Resale,mohammad ghouse,1 open sides 1 L booking amountEast facing
7,Residential Plot,2700000,"Gannavaram, Vijayawada",1485 ,New,doing hmda projects @ HYDERABAD,2 - 3 years old2 open sides 1 L booking amount
8,Residential Plot,3900000,"Kankipadu, Vijayawada",2700 ,New,K MANIKANTA,"2 open sides 50,000 booking amountEast facing"
9,Residential Plot,2364000,"Gosala, Vijayawada",1773 ,New,PSR Global Constructions,1 open sides 2 L booking amountNorthEast facing
10,Residential Plot,2400000,"Kankipadu, Vijayawada",1350 ,New,Webrightz,3 open sides 1 L booking amountEast facing
11,2 BHK Apartment,2400000,"Gollapudi1, Vijayawada",800 ,Ready to move,ksairams,11 - 12 years old2 Bathrooms5th of 5floor
12,3 BHK Apartment,7650000,"Tadigadapa Donka Road, Vijayawada",1700 ,Ready to move,24x7offer Real Estate,0 - 1 year old3 Bathrooms3rd of 5floor
13,2 BHK Independent House,7500000,"Nunna, Vijayawada",1800 ,Under Construction,Big Shot Infra,Possession by Dec 20232 BathroomsNew 
14,2 BHK Apartment,4200000,"Madhuranagar, Vijayawada",1005 ,Ready to move,Genuine Real Estate Properties Investment,5 - 6 years old2 Bathrooms4th of 4floor
15,3 BHK Villa,1040000,"Kankipadu, Vijayawada",1260 ,Under Construction,anumula chinna,Possession by Aug 20242 BathroomsNew 
16,3 BHK Apartment,7715000,"Benz Circle, Vijayawada",1543 ,Under Construction,Guest,3 BathroomsNew East facing
17,2 BHK Apartment,7658000,"Benz Circle, Vijayawada",1200 ,Under Construction,AP and TS Properties,2 BathroomsNew 
18,Residential Plot,3019000,"Enikepadu, Vijayawada",1647 ,New,Dial To Property,4 open sidesEast facing
19,2 BHK Independent House,5999000,"Penamaluru, Vijayawada",1350 ,Ready to move,satya,7 - 8 years old2 BathroomsNew 
