,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,3 BHK Apartment,16399999,"Benz Circle, Vijayawada",2285 ,Under Construction,Dial To Property,3 BathroomsNew North facing
1,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
2,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
3,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
4,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
5,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
6,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
7,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
8,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
9,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
10,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
11,3 BHK Apartment,17800000,"Benz Circle, Vijayawada",2478 ,Under Construction,Dial To Property,3 BathroomsNew East facing
12,3 BHK Apartment,17000000,"Benz Circle, Vijayawada",2369 ,Under Construction,Dial To Property,3 BathroomsNew West facing
13,3 BHK Apartment,17000000,"Benz Circle, Vijayawada",2369 ,Under Construction,Dial To Property,3 BathroomsNew West facing
14,3 BHK Apartment,16399999,"Benz Circle, Vijayawada",2285 ,Under Construction,Dial To Property,3 BathroomsNew North facing
15,3 BHK Apartment,16399999,"Benz Circle, Vijayawada",2285 ,Under Construction,Dial To Property,3 BathroomsNew North facing
16,3 BHK Apartment,16399999,"Benz Circle, Vijayawada",2285 ,Under Construction,Dial To Property,3 BathroomsNew North facing
17,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
18,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
19,3 BHK Apartment,18400000,"Benz Circle, Vijayawada",2567 ,Under Construction,Dial To Property,3 BathroomsNew East facing
