,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,2 BHK Apartment,3583000,"Kesarapalli, Vijayawada",1175 ,Ready to move,Himaja Constructions P Ltd,2 - 3 years oldNew 
1,2 BHK Independent House,5999000,"Penamaluru, Vijayawada",1350 ,Under Construction,Saideva Realestate,Possession by Jan 20242 BathroomsNew 
2,Residential Plot,523000,"AGIRIPALLI, Vijayawada",1350 ,New,METRO HOMES," 50,000 booking amount"
3,Residential Plot,7175000,"Penamaluru, Vijayawada",3150 ,New,Sri Vaishnavi Townships,1 open sides 1 L booking amountWest facing
4,Residential Plot,3529999,"Penamaluru, Vijayawada",1548 ,Resale,mohammad ghouse,1 open sides 1 L booking amountEast facing
5,Residential Plot,2800000,"Gannavaram, Vijayawada",1500 ,New,doing hmda projects @ HYDERABAD,2 open sides 1 L booking amountEast facing
6,3 BHK Independent Floor,16000000,"Benz Circle, Vijayawada",2427 ,Ready to move,Guest,3 BathroomsNew East facing
7,2 BHK Independent House,3600000,"Penamaluru, Vijayawada",900 ,Under Construction,ksairams,Possession by Apr 20232 BathroomsNew 
8,Residential Plot,540000,"SURAMPALLI, Vijayawada",1080 ,New,Vaishnavi,"1 open sides 20,000 booking amountNorth facing"
9,Residential Plot,539000,"SURAMPALLI, Vijayawada",1080 ,New,Garima,"2 open sides 20,000 booking amountNorthEast facing"
10,2 BHK Apartment,3645000,"Ibrahimpatnam, Vijayawada",1215 ,Ready to move,24x7offer Real Estate,1 year old2 Bathrooms3rd of 5floor
11,Residential Plot,1350000,"Gannavaram, Vijayawada",1350 ,New,satya,Possession by Dec 1899 2 L booking amountEast facing
12,Residential Plot,4200000,"Poranki, Vijayawada",1638 ,New,Prasanna Kumar,1 open sidesWest facing
13,3 BHK Villa,14000000,"Kankipadu, Vijayawada",2966 ,Under Construction,PAWAN PROPERTIES,Possession by Aug 20243 BathroomsNew 
14,Residential Plot,2561000,"Kankipadu, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old
15,Residential Plot,432000,"SURAMPALLI, Vijayawada",864 ,New,PropertiesAdda,"2 open sides 20,000 booking amountNorthEast facing"
16,Residential Plot,358000,"Edupugallu, Vijayawada",1746 ,New,PAWAN PROPERTIES,"2 open sides 10,000 booking amountEast facing"
17,Residential Plot,539000,"Nuzividu, Vijayawada",1080 ,New,Garima,"2 open sides 20,000 booking amountSouthWest facing"
18,Residential Plot,195000,"Penamaluru, Vijayawada",1260 ,New,anumula chinna,1 open sides 200 booking amountEast facing
19,Residential Plot,540000,"Nuzvid To Vijayawada Road, Vijayawada",1080 ,New,Vaishnavi,"1 open sides 20,000 booking amountNorth facing"
