,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,3 BHK Apartment,19000000,"Sri Ramachandra Nagar, Vijayawada",3322 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
1,3 BHK Apartment,13200000,"Sri Ramachandra Nagar, Vijayawada",2320 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
2,3 BHK Apartment,10000000,"Kanuru, Vijayawada",2000 ,Ready to move,Guest,3 BathroomsNew 
3,3 BHK Independent Floor,13000000,"Moghalrajpuram, Vijayawada",2000 ,Ready to move,Guest,7 years old3 BathroomsNew 
4,3 BHK Independent Floor,13000000,"Sri Ramachandra Nagar, Vijayawada",2070 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
5,3 BHK Apartment,11600000,"Sri Ramachandra Nagar, Vijayawada",2110 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
6,2 BHK Apartment,7601000,"Sri Ramachandra Nagar, Vijayawada",1460 ,Ready to move,Guest,7 - 8 years old2 BathroomsNew 
7,4 BHK Independent Floor,21000000,"Sri Ramachandra Nagar, Vijayawada",3200 ,Ready to move,Guest,7 - 8 years old4 BathroomsNew 
8,3 BHK Apartment,8000000,"Sri Ramachandra Nagar, Vijayawada",1460 ,Ready to move,Guest,3 - 4 years old3 BathroomsNew 
9,3 BHK Apartment,8001000,"Sri Ramachandra Nagar, Vijayawada",1460 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
10,2 BHK Apartment,3724000,"Kesarapalli, Vijayawada",1221 ,Ready to move,Himaja Constructions P Ltd,2 - 3 years oldNew 
11,2 BHK Apartment,3632000,"Kesarapalli, Vijayawada",1191 ,Ready to move,Himaja Constructions P Ltd,2 - 3 years oldNew 
12,2 BHK Apartment,6125000,"Benz Circle, Vijayawada",1250 ,Under Construction,Guest,2 BathroomsNew East facing
13,3 BHK Apartment,8913000,"Benz Circle, Vijayawada",1819 ,Under Construction,Guest,3 BathroomsNew East facing
14,2 BHK Apartment,6272000,"Benz Circle, Vijayawada",1280 ,Under Construction,Guest,2 BathroomsNew East facing
15,3 BHK Apartment,8000000,"Sri Ramachandra Nagar, Vijayawada",1460 ,Ready to move,Guest,3 - 4 years old2 BathroomsNew 
16,3 BHK Apartment,15000000,"Labbipet, Vijayawada",2300 ,Ready to move,Guest,3 BathroomsNew 
17,3 BHK Apartment,10000000,"Kanuru, Vijayawada",2000 ,Ready to move,Guest,3 BathroomsNew 
18,3 BHK Apartment,10000000,"Kanuru, Vijayawada",2000 ,Ready to move,Guest,3 BathroomsNew 
19,3 BHK Apartment,9800000,"Kanuru, Vijayawada",2000 ,Ready to move,Guest,3 BathroomsNew 
