,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,2 BHK Independent House,5600000,"Payakapuram, Vijayawada",1000 ,Ready to move,Sri Sai Ram Real Estate,5 - 6 years old2 BathroomsNew 
1,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
2,3 BHK Villa,57000000,"Guru Nanak Colony, Vijayawada",4437 ,Ready to move,Guest,3 BathroomsResale East facing
3,2 BHK Apartment,5640000,"Kanuru, Vijayawada",1187 ,Under Construction,AP and TS Properties,2 BathroomsNew 
4,2 BHK Apartment,2818000,"Gunadala, Vijayawada",1151 ,Ready to move,Guest,1 BathroomsNew 
5,Residential Plot,4646000,"Penamaluru, Vijayawada",1818 ,New,Prasanna Kumar,7 - 8 years old1 open sidesWest facing
6,Residential Plot,2561000,"Kankipadu, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old
7,Residential Plot,2925000,"Gannavaram, Vijayawada",1647 ,New,Dial to Property,West facing
8,3 BHK Apartment,10200000,"Kanuru, Vijayawada",2000 ,Ready to move,Guest,3 BathroomsNew 
9,2 BHK Apartment,4195000,"Poranki, Vijayawada",1168 ,Ready to move,seller,2 BathroomsResale East facing
10,2 BHK Apartment,5880000,"Benz Circle, Vijayawada",1200 ,Under Construction,Guest,2 BathroomsNew East facing
11,Residential Plot,3382000,"Gannavaram, Vijayawada",1845 ,New,Guest,Possession by May 20243 open sidesNorthEast facing
12,1 RK Studio Apartment,2650000,"Kankipadu, Vijayawada",1054 ,Ready to move,Bhargav forcloser,7 - 8 years oldResale 
13,3 BHK Apartment,7400000,"Gannavaram, Vijayawada",1560 ,Ready to move,PV Infra pvt LTD,2 - 3 years old3 BathroomsNew 
14,2 BHK Independent House,5700000,"Nunna, Vijayawada",1400 ,Ready to move,Sri Sai Ram Real Estate,2 BathroomsNew 
15,2 BHK Apartment,5640000,"Currency Nagar, Vijayawada",1187 ,Under Construction,AP and TS Properties,2 BathroomsNew 
16,Residential Plot,3294000,"Edupugallu, Vijayawada",1647 ,New,Dial To Property,4 open sidesWest facing
17,Residential Plot,5060000,"Kanuru, Vijayawada",1980 ,New,Prasanna Kumar,1 open sidesWest facing
18,Residential Plot,2909000,"Gannavaram, Vijayawada",1647 ,New,Dial To Property,4 open sidesEast facing
19,3 BHK Apartment,7500000,"Currency Nagar, Vijayawada",1460 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
